DATE,AUENSA
1993-01-01,30.2
1993-02-01,42.5
1993-03-01,57.4
1993-04-01,47.6
1993-05-01,51.7
1993-06-01,42.5
1993-07-01,17.7
1993-08-01,27.1
1993-09-01,40.3
1993-10-01,44.0
1993-11-01,44.7
1993-12-01,46.5
1994-01-01,44.9
1994-02-01,55.8
1994-03-01,67.6
1994-04-01,60.4
1994-05-01,59.9
1994-06-01,48.9
1994-07-01,25.8
1994-08-01,35.6
1994-09-01,47.1
1994-10-01,41.0
1994-11-01,46.5
1994-12-01,52.7
1995-01-01,45.2
1995-02-01,50.0
1995-03-01,58.6
1995-04-01,46.9
1995-05-01,50.4
1995-06-01,39.1
1995-07-01,27.1
1995-08-01,30.4
1995-09-01,35.7
1995-10-01,43.8
1995-11-01,40.6
1995-12-01,53.2
1996-01-01,41.8
1996-02-01,47.4
1996-03-01,51.7
1996-04-01,45.2
1996-05-01,50.1
1996-06-01,37.0
1996-07-01,26.9
1996-08-01,39.7
1996-09-01,48.9
1996-10-01,48.1
1996-11-01,43.1
1996-12-01,46.3
1997-01-01,31.1
1997-02-01,47.9
1997-03-01,58.0
1997-04-01,52.7
1997-05-01,61.1
1997-06-01,51.6
1997-07-01,21.0
1997-08-01,41.2
1997-09-01,38.1
1997-10-01,50.0
1997-11-01,42.2
1997-12-01,34.8
1998-01-01,39.6
1998-02-01,43.4
1998-03-01,56.7
1998-04-01,49.0
1998-05-01,47.3
1998-06-01,38.3
1998-07-01,17.8
1998-08-01,37.6
1998-09-01,40.8
1998-10-01,44.8
1998-11-01,55.4
1998-12-01,38.9
1999-01-01,32.4
1999-02-01,52.6
1999-03-01,60.1
1999-04-01,55.2
1999-05-01,53.2
1999-06-01,44.9
1999-07-01,27.4
1999-08-01,42.0
1999-09-01,43.2
1999-10-01,48.0
1999-11-01,58.9
1999-12-01,40.1
2000-01-01,44.2
2000-02-01,59.5
2000-03-01,58.3
2000-04-01,54.6
2000-05-01,67.8
2000-06-01,49.9
2000-07-01,34.7
2000-08-01,50.8
2000-09-01,42.1
2000-10-01,67.0
2000-11-01,52.1
2000-12-01,47.0
2001-01-01,44.2
2001-02-01,52.2
2001-03-01,64.7
2001-04-01,83.0
2001-05-01,61.9
2001-06-01,53.1
2001-07-01,46.6
2001-08-01,52.8
2001-09-01,60.0
2001-10-01,60.6
2001-11-01,59.8
2001-12-01,40.9
2002-01-01,47.1
2002-02-01,57.1
2002-03-01,63.2
2002-04-01,75.8
2002-05-01,76.3
2002-06-01,54.6
2002-07-01,44.5
2002-08-01,53.4
2002-09-01,64.7
2002-10-01,70.9
2002-11-01,53.6
2002-12-01,45.4
2003-01-01,58.9
2003-02-01,52.6
2003-03-01,61.1
2003-04-01,60.2
2003-05-01,60.7
2003-06-01,52.8
2003-07-01,39.2
2003-08-01,38.8
2003-09-01,65.8
2003-10-01,64.6
2003-11-01,47.1
2003-12-01,45.0
2004-01-01,35.4
2004-02-01,45.3
2004-03-01,60.3
2004-04-01,57.0
2004-05-01,54.2
2004-06-01,47.5
2004-07-01,41.2
2004-08-01,48.3
2004-09-01,50.4
2004-10-01,35.9
2004-11-01,51.1
2004-12-01,33.8
2005-01-01,42.4
2005-02-01,37.8
2005-03-01,40.6
2005-04-01,40.4
2005-05-01,53.5
2005-06-01,31.5
2005-07-01,27.7
2005-08-01,39.9
2005-09-01,43.6
2005-10-01,38.2
2005-11-01,32.7
2005-12-01,37.5
2006-01-01,53.6
2006-02-01,51.1
2006-03-01,54.3
2006-04-01,58.8
2006-05-01,58.2
2006-06-01,60.1
2006-07-01,46.3
2006-08-01,50.1
2006-09-01,44.1
2006-10-01,75.5
2006-11-01,66.1
2006-12-01,43.5
2007-01-01,54.4
2007-02-01,60.4
2007-03-01,45.3
2007-04-01,67.9
2007-05-01,52.6
2007-06-01,49.7
2007-07-01,49.3
2007-08-01,56.8
2007-09-01,49.5
2007-10-01,67.0
2007-11-01,57.3
2007-12-01,50.9
2008-01-01,57.581
2008-02-01,45.571
2008-03-01,61.767
2008-04-01,61.359
2008-05-01,58.376
2008-06-01,65.141
2008-07-01,72.732
2008-08-01,66.84
2008-09-01,78.795
2008-10-01,82.717
2008-11-01,65.185
2008-12-01,47.613
2009-01-01,23.242
2009-02-01,42.841
2009-03-01,29.159
2009-04-01,34.319
2009-05-01,26.238
2009-06-01,28.392
2009-07-01,29.824
2009-08-01,39.453
2009-09-01,44.749
2009-10-01,53.603
2009-11-01,57.852
2009-12-01,46.242
2010-01-01,45.422
2010-02-01,48.685
2010-03-01,63.93
2010-04-01,55.603
2010-05-01,57.51
2010-06-01,61.059
2010-07-01,45.27
2010-08-01,68.778
2010-09-01,65.849
2010-10-01,65.621
2010-11-01,70.79
2010-12-01,55.729
2011-01-01,57.509
2011-02-01,63.45
2011-03-01,69.568
2011-04-01,54.606
2011-05-01,78.026
2011-06-01,58.768
2011-07-01,48.403
2011-08-01,75.498
2011-09-01,74.632
2011-10-01,82.391
2011-11-01,75.88
2011-12-01,75.199
2012-01-01,71.736
2012-02-01,79.268
2012-03-01,82.643
2012-04-01,100.495
2012-05-01,85.844
2012-06-01,98.512
2012-07-01,81.896
2012-08-01,90.05
2012-09-01,74.009
2012-10-01,101.272
2012-11-01,96.307
2012-12-01,67.859
2013-01-01,72.824
2013-02-01,88.325
2013-03-01,93.186
2013-04-01,118.344
2013-05-01,111.029
2013-06-01,95.326
2013-07-01,82.615
2013-08-01,93.423
2013-09-01,110.133
2013-10-01,105.384
2013-11-01,103.05
2013-12-01,93.226
2014-01-01,89.776
2014-02-01,90.9
2014-03-01,109.853
2014-04-01,121.722
2014-05-01,107.955
2014-06-01,121.115
2014-07-01,100.293
2014-08-01,112.455
2014-09-01,120.463
2014-10-01,112.37
2014-11-01,92.004
2014-12-01,108.928
2015-01-01,92.523
2015-02-01,84.145
2015-03-01,130.765
2015-04-01,126.536
2015-05-01,116.127
2015-06-01,125.848
2015-07-01,96.166
2015-08-01,119.215
2015-09-01,108.563
2015-10-01,114.416
2015-11-01,111.655
2015-12-01,90.032
2016-01-01,87.948
2016-02-01,116.777
2016-03-01,118.736
2016-04-01,121.85
2016-05-01,126.544
2016-06-01,121.347
2016-07-01,92.037
2016-08-01,131.073
2016-09-01,113.681
2016-10-01,120.233
2016-11-01,107.905
2016-12-01,85.757
2017-01-01,92.759
2017-02-01,108.956
2017-03-01,114.57
2017-04-01,105.634
2017-05-01,126.285
2017-06-01,123.594
2017-07-01,82.244
2017-08-01,113.859
2017-09-01,88.779
2017-10-01,110.655
2017-11-01,103.898
2017-12-01,101.814
2018-01-01,85.731
2018-02-01,107.492
2018-03-01,124.319
2018-04-01,115.383
2018-05-01,119.36
2018-06-01,104.744
2018-07-01,81.145
2018-08-01,104.498
2018-09-01,98.134
2018-10-01,98.457
2018-11-01,91.03
2018-12-01,83.63
2019-01-01,76.208
2019-02-01,97.545
2019-03-01,114.844
2019-04-01,109.586
2019-05-01,120.537
2019-06-01,105.348
2019-07-01,90.021
2019-08-01,101.935
2019-09-01,98.44
2019-10-01,109.445
2019-11-01,106.422
2019-12-01,99.52
2020-01-01,68.832
2020-02-01,90.362
2020-03-01,98.26
2020-04-01,16.31
2020-05-01,11.38
2020-06-01,56.57
2020-07-01,79.336
2020-08-01,101.052
2020-09-01,84.418
2020-10-01,85.685
2020-11-01,88.403
2020-12-01,89.872
2021-01-01,69.289
2021-02-01,85.198
2021-03-01,106.074
2021-04-01,78.435
2021-05-01,78.72
2021-06-01,80.896
2021-07-01,70.505
2021-08-01,84.708
2021-09-01,74.014
2021-10-01,81.563
2021-11-01,83.046
2021-12-01,78.353
2022-01-01,68.303
2022-02-01,80.093
2022-03-01,96.2
2022-04-01,88.671
2022-05-01,95.813
2022-06-01,81.319
2022-07-01,76.849
2022-08-01,85.725
2022-09-01,90.014
2022-10-01,91.998
2022-11-01,75.371
2022-12-01,80.689
2023-01-01,70.857
2023-02-01,73.373
2023-03-01,79.587
2023-04-01,69.197
2023-05-01,82.551
2023-06-01,75.417
2023-07-01,75.797
2023-08-01,78.61
2023-09-01,79.821
2023-10-01,88.501
2023-11-01,77.52
2023-12-01,67.197
2024-01-01,62.012
2024-02-01,74.311
2024-03-01,91.063
2024-04-01,75.069
2024-05-01,76.578
2024-06-01,71.86
2024-07-01,60.369
